Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.0725665,159.58337,0.22108237
16,test,5.0588574,157.41057,0.2201128
32,val,5.1256766,168.28796,0.21774091
32,test,5.101262,164.22905,0.21767724
64,val,5.197795,180.87297,0.21472563
64,test,5.1407256,170.83968,0.21569559
128,val,5.2632933,193.11642,0.21174239
128,test,5.210758,183.23294,0.2120281
256,val,5.364358,213.65402,0.208125
256,test,5.276151,195.61554,0.20942675
512,val,5.4539533,233.68015,0.2047252
512,test,5.334318,207.33134,0.2061842
1024,val,5.484182,240.85182,0.2026106
1024,test,5.4351583,229.32913,0.20120688
2048,val,5.4637327,235.97661,0.20191841
2048,test,5.4886446,241.92908,0.19691435
