Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.357355,212.16307,0.20480572
16,test,5.365749,213.9514,0.20121534
32,val,5.3574996,212.19371,0.20478281
32,test,5.365749,213.9514,0.20121534
64,val,5.357499,212.19362,0.20478281
64,test,5.365668,213.93407,0.20121686
128,val,5.357499,212.19362,0.20478281
128,test,5.3655334,213.9053,0.20123042
256,val,5.357641,212.22377,0.20476761
256,test,5.3657746,213.95692,0.2011946
512,val,5.3571377,212.11693,0.20479338
512,test,5.365738,213.94905,0.20125239
1024,val,5.3568683,212.0598,0.2048611
1024,test,5.3657384,213.94916,0.20124888
2048,val,5.357135,212.11633,0.20497723
2048,test,5.3660555,214.01701,0.20132293
