Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.0816402,161.03798,0.2182755
16,test,5.0507135,156.13383,0.2200499
32,val,5.1140213,166.3379,0.21683992
32,test,5.0782647,160.49532,0.21829574
64,val,5.1573563,173.70462,0.2147977
64,test,5.1208863,167.48375,0.21600662
128,val,5.224842,185.83182,0.21118177
128,test,5.179311,177.5604,0.21311872
256,val,5.3132524,203.00943,0.20756009
256,test,5.242721,189.1842,0.20885673
512,val,5.3941393,220.11261,0.20488162
512,test,5.3078346,201.91255,0.2063487
