Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.34478,209.51178,0.20444934
16,test,5.3502674,210.66463,0.20140404
32,val,5.3449163,209.54034,0.20442642
32,test,5.3502674,210.66463,0.20140404
64,val,5.3449163,209.54034,0.20442642
64,test,5.350198,210.64998,0.20141257
128,val,5.3449163,209.54034,0.20442642
128,test,5.3500724,210.62355,0.20141569
256,val,5.3451285,209.58482,0.20441104
256,test,5.3503227,210.67627,0.20137645
512,val,5.344647,209.48392,0.20442843
512,test,5.3502707,210.66533,0.20143439
