Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,1.8917283,6.630819,0.6015625
16,test,1.8917283,6.630819,0.6015625
32,val,1.366144,3.9202049,0.734375
32,test,1.366144,3.9202049,0.734375
64,val,1.0257876,2.7892914,0.7792969
64,test,1.0257876,2.7892914,0.7792969
128,val,0.9501628,2.5861309,0.81152344
128,test,0.9501628,2.5861309,0.81152344
256,val,0.8399108,2.3161604,0.8354492
256,test,0.8399108,2.3161604,0.8354492
512,val,0.9192089,2.507306,0.82128906
512,test,0.9192089,2.507306,0.82128906
1024,val,0.96241194,2.6180034,0.81274414
1024,test,0.96241194,2.6180034,0.81274414
2048,val,2.1328404,8.438803,0.6269531
2048,test,2.1328404,8.438803,0.6269531
4096,val,2.7019975,14.909484,0.52175903
4096,test,2.7019975,14.909484,0.52175903
8192,val,2.9447262,19.005459,0.46469116
8192,test,2.9447262,19.005459,0.46469116
16384,val,3.2021627,24.585646,0.4243164
16384,test,3.2021627,24.585646,0.4243164
