Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,4.5292745,92.691284,0.3515625
16,test,4.5292745,92.691284,0.3515625
32,val,4.415519,82.72479,0.359375
32,test,4.415519,82.72479,0.359375
64,val,4.3265676,75.68407,0.36132812
64,test,4.3265676,75.68407,0.36132812
128,val,4.48283,88.48474,0.33691406
128,test,4.48283,88.48474,0.33691406
256,val,4.400674,81.505775,0.34521484
256,test,4.400674,81.505775,0.34521484
512,val,4.473296,87.64514,0.33374023
512,test,4.473296,87.64514,0.33374023
1024,val,4.836414,126.016624,0.31103516
1024,test,4.836414,126.016624,0.31103516
2048,val,5.1992693,181.13983,0.25408936
2048,test,5.1992693,181.13983,0.25408936
4096,val,5.017338,151.00876,0.2566223
4096,test,5.017338,151.00876,0.2566223
8192,val,5.080235,160.81184,0.23124695
8192,test,5.080235,160.81184,0.23124695
16384,val,5.132861,169.50139,0.23173523
16384,test,5.132861,169.50139,0.23173523
