Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,2.7579694,15.767793,0.5078125
16,test,2.7579694,15.767793,0.5078125
32,val,1.879987,6.55342,0.65234375
32,test,1.879987,6.55342,0.65234375
64,val,1.267756,3.552871,0.765625
64,test,1.267756,3.552871,0.765625
128,val,0.930141,2.5348666,0.83496094
128,test,0.930141,2.5348666,0.83496094
256,val,0.73769426,2.0911083,0.8725586
256,test,0.73769426,2.0911083,0.8725586
512,val,0.8076205,2.2425654,0.86157227
512,test,0.8076205,2.2425654,0.86157227
1024,val,0.7578397,2.1336617,0.86865234
1024,test,0.7578397,2.1336617,0.86865234
2048,val,1.9266807,6.86668,0.67211914
2048,test,1.9266807,6.86668,0.67211914
4096,val,2.4609265,11.715662,0.56921387
4096,test,2.4609265,11.715662,0.56921387
8192,val,2.6575315,14.261043,0.5210724
8192,test,2.6575315,14.261043,0.5210724
16384,val,2.913125,18.414255,0.47310638
16384,test,2.913125,18.414255,0.47310638
